Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
MMS4	SHU1	ZEOC	CMPT	-22.9102860230113	0.44171478477202	-0.195582412604829	0.00411823190523399	AGGRAVATING	NEUTRAL	-15.7975017927066	-0.199700644510063	1.49253784119221e-06
MAG1	SHU2	ZEOC	CMPT	0.916047978252395	-10.9745757815594	0.00740019099798042	-0.0786554214565919	NEUTRAL	AGGRAVATING	7.96855382947152	0.0860556124545724	0.00289521321569466
CLA4	SLX4	ZEOC	CMPT	-1.72713077900256	-11.2996927560263	-0.0191801109038608	-0.193877608343765	NEUTRAL	AGGRAVATING	8.5476535153099	0.174697497439905	0.00159295910924978
CSM2	SLX4	ZEOC	CMPT	-17.6416025070975	-1.13172991052318	-0.200063825071603	-0.01346600147577	AGGRAVATING	NEUTRAL	-11.3521431388059	-0.186597823595833	0.000475556003807547
MMS1	SLX4	ZEOC	CMPT	4.49981028972998	-11.3594415701146	0.0495669632068853	-0.259925406359507	NEUTRAL	AGGRAVATING	12.1870213527515	0.309492369566392	2.59616262803689e-05
PSY3	SLX4	ZEOC	CMPT	-19.6142470947208	-0.489506691757473	-0.290086495203271	-0.00708821845514117	AGGRAVATING	NEUTRAL	-13.6726642202672	-0.282998276748129	2.93240024158642e-05
RAD55	SLX4	ZEOC	CMPT	1.53132527376396	-14.3187399598293	0.017042965794682	-0.436140526460886	NEUTRAL	AGGRAVATING	13.9746152166164	0.453183492255568	1.96590975743547e-06
SGS1	SLX4	ZEOC	CMPT	-29.8442611367171	-10.4566793741993	-0.498532921272319	-0.233576566057328	AGGRAVATING	NEUTRAL	-9.49911064195447	-0.264956355214991	0.00304315129303689
SHU1	SLX4	ZEOC	CMPT	-16.3072937642905	-0.259807629533144	-0.205129382436786	-0.00301034338866308	AGGRAVATING	NEUTRAL	-11.8183019857844	-0.202119039048123	0.000305701874146932
SHU2	SLX4	ZEOC	CMPT	-28.9669937313006	-2.48548846709583	-0.4311284052373	-0.03131899477227	AGGRAVATING	NEUTRAL	-20.5018246449336	-0.39980941046503	2.22463330867443e-10
CSM3	SRS2	ZEOC	CMPT	-16.007175063323	7.26620607849461	-0.107021495715873	0.0876706219747701	AGGRAVATING	NEUTRAL	-14.1141466096681	-0.194692117690643	1.6568759419793e-05
MMS1	SRS2	ZEOC	CMPT	-2.3053397196058	11.7422611244201	-0.0170829647951105	0.155117966273331	NEUTRAL	ALLEVIATING	-11.3689165459061	-0.172200931068441	0.000475556003807547
MMS4	SRS2	ZEOC	CMPT	-14.0398390079011	8.22234507836588	-0.107074194244204	0.102842822967909	AGGRAVATING	ALLEVIATING	-14.3293584914843	-0.209917017212113	1.28880841997511e-05
MUS81	SRS2	ZEOC	CMPT	-5.68884084853871	9.89455321768158	-0.0508204923594868	0.491270802347257	NEUTRAL	ALLEVIATING	-10.7455682177183	-0.542091294706744	0.000886023048636806
RAD51	SRS2	ZEOC	CMPT	0.295350750096535	15.2934632746746	0.00220285666668406	0.188555425640314	NEUTRAL	ALLEVIATING	-12.9325360049126	-0.18635256897363	8.39691399682105e-05
RTT101	SRS2	ZEOC	CMPT	-9.7035611741922	4.82287883928264	-0.0716390367061572	0.082445736722942	AGGRAVATING	NEUTRAL	-8.27487189027598	-0.154084773429099	0.00847848329261657
RTT107	SRS2	ZEOC	CMPT	-47.8373155884395	7.54258505509044	-0.44091376091817	0.112920116345514	AGGRAVATING	NEUTRAL	-31.5022697387279	-0.553833877263684	6.82570338180306e-24
MAG1	RAD18	ZEOC	CSPL	0.387680535998307	-17.3588566467335	0.00400175901737115	-0.464752179018487	NEUTRAL	AGGRAVATING	16.3362175603298	0.468753938035859	2.63031888458195e-13
MMS4	RAD18	ZEOC	CSPL	-7.03189955367679	-24.438913627631	-0.0701972023994175	-0.375624448459981	NEUTRAL	AGGRAVATING	16.6651822736099	0.305427246060564	1.00081970330626e-13
CSM2	RAD5	ZEOC	CSPL	-21.1251339937913	0.00355150702795089	-0.312966605405751	5.08767477883542e-05	AGGRAVATING	NEUTRAL	-15.1889745927743	-0.313017482153539	5.57234313771713e-11
CSM3	RAD5	ZEOC	CSPL	-8.41233095037408	-31.9259327438806	-0.068483941876056	-0.38199793258716	NEUTRAL	AGGRAVATING	21.6634980071561	0.313513990711104	1.61618198139223e-22
MMS1	RAD5	ZEOC	CSPL	-7.84236449280794	-25.3419769933221	-0.0698453150719825	-0.332471395863508	NEUTRAL	AGGRAVATING	16.5623629341243	0.262626080791526	1.24715293175838e-13
MMS4	RAD5	ZEOC	CSPL	-32.8320212803699	-8.8170813692616	-0.336389029154373	-0.100112415127427	AGGRAVATING	NEUTRAL	-15.4492742363642	-0.236276614026946	2.51931184671647e-11
MMS1	RAD51	ZEOC	CSPL	-2.25252123540816	-10.4034231211178	-0.024761614320466	-0.198455157806705	NEUTRAL	AGGRAVATING	7.88917793913336	0.173693543486239	0.000911944276081054
MPH1	RAD51	ZEOC	CSPL	-16.5171094959315	-3.68785977718938	-0.332845844884256	-0.0733430516000973	AGGRAVATING	NEUTRAL	-9.16560931870116	-0.259502793284159	0.000214334167768622
RAD5	RAD54	ZEOC	CSPL	-1.52262758755691	-33.5224096186773	-0.012881017146974	-0.45383057208749	NEUTRAL	AGGRAVATING	27.6215740252648	0.440949554940516	5.67357593477079e-36
