Gene pair	Epsilon	p(Eps==0)	z(Sxy=Sx)	z(Sxy=Sy)	Congruence	# w/ GO term	Sig. GO link	Interaction (P < 0.01)
rad52-hpr5	0.001066	9.71E-01	-1.649368	-8.801234	0.091037	28	1	neutral
rad55-rad59	0.001635	9.57E-01	-1.935617	-3.207931	0.631962	11	1	neutral
rad57-rad59	0.008533	7.73E-01	-2.156403	-3.812875	0.749735	14	1	neutral
csm2-csm3	0.017655	5.62E-01	-0.412008	-1.823893	-0.037607	11	1	neutral
rad51-hpr5	0.039516	1.85E-01	-1.101663	-5.0777	0.045642	28	1	neutral
rad52-rad59	0.040954	1.63E-01	-1.031267	-6.897661	0.492746	11	1	neutral
rad54-rad59	0.046601	1.14E-01	-1.243078	-4.69803	0.153168	11	1	neutral
rad51-rad59	0.060943	3.88E-02	-1.264722	-3.854743	0.580609	11	1	neutral
mms1-rtt107	0.071261	1.50E-02	-0.41313	-2.893135	0.413719	8	1	neutral
rad52-sgs1	0.073725	1.08E-02	-2.445502	-2.843184	0.529073	14	1	neutral
csm2-shu2	0.085541	4.85E-03	0.240943	-0.146619	0.955277	4	1	alleviating
sgs1-rad51	0.086282	3.33E-03	-1.95602	-4.701755	0.567961	14	1	alleviating
shu1-psy3	0.095097	1.92E-03	0.102991	-0.2534	0.929733	4	1	alleviating
psy3-shu2	0.106808	4.31E-04	0.001984	-0.071455	0.957977	4	1	alleviating
rad52-rad55	0.106545	2.73E-04	-0.449105	-4.957507	0.761647	5	1	alleviating
rad52-rad57	0.108409	1.78E-04	-0.574998	-4.744298	0.780722	5	1	alleviating
csm2-psy3	0.115853	1.41E-04	-0.052547	-0.368339	0.929834	4	1	alleviating
rad55-hpr5	0.121524	7.81E-05	-0.307679	-2.987173	-0.051289	28	1	alleviating
sgs1-rad54	0.1178	5.47E-05	-1.720138	-3.620937	0.753805	14	1	alleviating
shu1-csm2	0.130111	2.31E-05	0.550628	0.519858	0.95272	4	1	alleviating
rad59-hpr5	0.133782	7.88E-06	0.467298	-1.06537	0.038341	28	1	alleviating
rad52-rad51	0.129464	7.14E-06	-0.770915	-3.970006	0.812622	11	1	alleviating
rad52-rad54	0.153529	9.69E-08	-0.393434	-2.763897	0.628918	11	1	alleviating
sgs1-csm2	0.162683	8.59E-08	0.887294	-5.713155	0.488292	11	1	alleviating
rad51-rad55	0.170775	1.04E-08	-0.483445	-1.768432	0.942936	11	1	alleviating
sgs1-rad57	0.170571	7.22E-09	0.41457	-3.235477	0.421519	14	1	alleviating
rad57-hpr5	0.174202	4.56E-09	0.721008	-2.354574	-0.056181	28	1	alleviating
rad51-rad57	0.177705	1.23E-09	-0.28653	-1.201145	0.935608	11	1	alleviating
rad57-rad55	0.187539	3.59E-10	-0.236737	-0.615799	0.965152	11	1	alleviating
sgs1-rad55	0.191692	8.19E-11	1.082153	-2.908314	0.496148	26	1	alleviating
rad54-rad57	0.217203	9.66E-14	0.957841	-0.768048	0.515963	11	1	alleviating
rad54-rad55	0.224942	3.81E-14	1.10092	-0.997295	0.586089	11	1	alleviating
rad54-rad51	0.23091	2.61E-15	0.54112	-0.278464	0.687389	11	1	alleviating
mms1-rtt101	0.271337	1.17E-20	1.957099	0.306913	0.837983	8	1	alleviating
rad5-rad61	0.000439	9.88E-01	-0.151983	-14.191055	-0.5447	535	0	neutral
rad18-mph1	0.001512	9.59E-01	-0.211156	-13.387083	-0.330798	150	0	neutral
mms1-rad57	0.002013	9.45E-01	-3.539254	-4.922779	0.098709	97	0	neutral
mms1-shu2	0.002176	9.42E-01	-1.9336	-6.678398	0.007163	150	0	neutral
mus81-rad61	0.003452	9.09E-01	-0.893903	-3.869186	0.306043	535	0	neutral
rad52-psy3	0.003662	9.01E-01	-1.288139	-8.804646	0.580923	150	0	neutral
rtt101-psy3	0.00427	8.86E-01	-1.556526	-4.656595	0.041704	463	0	neutral
mus81-cla4	0.004642	8.77E-01	-0.816498	-4.275648	0.202992	255	0	neutral
rad54-mms1	0.004979	8.63E-01	-4.257551	-4.722283	0.111373	97	0	neutral
mms1-csm2	0.005199	8.60E-01	-1.6431	-6.022355	-0.065878	150	0	neutral
rtt101-swc5	0.005663	8.51E-01	-0.421504	-5.595584	0.164163	463	0	neutral
psy3-rad61	0.005985	8.44E-01	-0.799324	-2.073115	0.235434	535	0	neutral
mms4-rad61	0.006915	8.20E-01	-0.85867	-3.67927	0.439688	535	0	neutral
rad59-shu2	0.007325	8.07E-01	-1.489857	-3.247305	0.598816	150	0	neutral
rad51-rad61	0.007331	8.07E-01	-0.734316	-6.220779	0.32142	535	0	neutral
rad5-csm3	0.007747	7.96E-01	0.265267	-13.470154	-0.773336	4096	0	neutral
rad18-mag1	0.008241	7.77E-01	-0.405646	-12.268648	0.250811	150	0	neutral
mms1-rad55	0.008677	7.69E-01	-3.350071	-5.068018	0.029182	97	0	neutral
shu1-csm3	0.010267	7.38E-01	-0.762936	-2.231992	-0.093848	4096	0	neutral
mms4-csm3	0.010122	7.38E-01	-0.590746	-3.209942	0.497713	127	0	neutral
shu2-csm3	0.010603	7.27E-01	-1.149424	-2.167738	-0.10086	4096	0	neutral
rad18-psy3	0.010341	7.23E-01	-0.192079	-12.985169	0.271568	150	0	neutral
rad5-cla4	0.012058	6.84E-01	0.434845	-13.766869	0.120702	1437	0	neutral
rad51-psy3	0.014382	6.31E-01	-0.69654	-4.929604	0.756285	150	0	neutral
rad52-shu2	0.014597	6.20E-01	-0.939323	-8.476148	0.649597	150	0	neutral
rad57-mms4	0.015651	5.97E-01	-2.076852	-3.733837	-0.138754	39	0	neutral
rad51-csm3	0.016058	5.91E-01	0.07781	-5.166506	0.014598	127	0	neutral
mms1-rad59	0.016499	5.74E-01	-1.850567	-4.92052	0.352815	97	0	neutral
shu2-mph1	0.017077	5.71E-01	-0.473109	-0.631093	0.377576	150	0	neutral
rad5-mms4	0.016707	5.71E-01	-0.217456	-11.147175	-0.46398	150	0	neutral
rtt107-slx4	0.017835	5.58E-01	0.006791	-3.824823	0.136201	463	0	neutral
mus81-slx4	0.018233	5.45E-01	-0.271543	-3.634457	0.391369	463	0	neutral
rad18-rad59	0.01777	5.40E-01	-0.095469	-11.343193	0.504735	150	0	neutral
rad52-csm2	0.019177	5.15E-01	-1.015114	-8.150567	0.601872	127	0	neutral
