Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaZ_FDR
MMS1_donor_1	SLX4_recipient_1	NoDrug	MMS	-3.59036566911824	-7.5116281284953	NEUTRAL	AGGRAVATING	3.92126245937706	0.00114907024109714
MMS1_donor_1	SRS2_recipient_1	NoDrug	MMS	-6.37180084523599	-3.62012096650683	AGGRAVATING	NEUTRAL	-2.75167987872916	0.025916492288634
MMS1_donor_1	SRS2_recipient_2	NoDrug	MMS	-8.34691182424266	0.715206696107344	AGGRAVATING	NEUTRAL	-9.06211852035	1.69753538575155e-15
MMS1_donor_1	CSM3_recipient_2	NoDrug	MMS	-3.906990802681	0.371680696267445	AGGRAVATING	NEUTRAL	-4.27867149894845	0.000366024074333217
MMS1_donor_2	MAG1_recipient_1	NoDrug	MMS	1.50052452148825	4.38410627388443	NEUTRAL	ALLEVIATING	-2.88358175239618	0.0192131448019698
MMS1_donor_2	CLA4_recipient_1	NoDrug	MMS	-0.0976680225479454	-9.31096718500786	NEUTRAL	AGGRAVATING	9.21329916245991	4.21827884966428e-16
MMS1_donor_2	PSY3_recipient_1	NoDrug	MMS	-1.90708488522372	-5.4029639485252	NEUTRAL	AGGRAVATING	3.49587906330148	0.00437043221900932
MMS1_donor_2	PSY3_recipient_2	NoDrug	MMS	-1.27736001400571	-7.15043181739927	NEUTRAL	AGGRAVATING	5.87307180339356	3.97933145111098e-07
MMS1_donor_2	RAD18_recipient_2	NoDrug	MMS	-1.75059536634375	6.79923338039929	NEUTRAL	ALLEVIATING	-8.54982874674304	6.82905577604218e-14
MMS1_donor_2	CSM2_recipient_1	NoDrug	MMS	-0.309582314605489	-5.00201041326005	NEUTRAL	AGGRAVATING	4.69242809865456	7.12327811002453e-05
MMS1_donor_2	RAD5_recipient_1	NoDrug	MMS	-7.40348194605442	5.09452469058358	AGGRAVATING	ALLEVIATING	-12.498006636638	1.33830024686082e-28
MMS1_donor_2	RAD5_recipient_2	NoDrug	MMS	-9.90102400367348	7.49797874280521	AGGRAVATING	ALLEVIATING	-17.3990027464787	1.83489131991321e-54
MMS1_donor_2	SLX4_recipient_1	NoDrug	MMS	-2.62972532336008	-8.95987297860515	NEUTRAL	AGGRAVATING	6.33014765524507	3.99745580823504e-08
MMS1_donor_2	SRS2_recipient_1	NoDrug	MMS	-2.51688725447526	-6.44281963881518	NEUTRAL	AGGRAVATING	3.92593238433992	0.00113664218281104
MMS4_donor_1	RAD18_recipient_1	NoDrug	MMS	-5.46501932379926	0.915590199430888	AGGRAVATING	NEUTRAL	-6.38060952323015	3.78289006155675e-08
MMS4_donor_1	RAD18_recipient_2	NoDrug	MMS	-10.6685058320974	1.67348173553469	AGGRAVATING	NEUTRAL	-12.3419875676321	6.48764282700472e-28
MMS4_donor_1	RAD54_recipient_2	NoDrug	MMS	3.20365392909976	7.5875396619122	NEUTRAL	ALLEVIATING	-4.38388573281243	0.000255435168031008
MMS4_donor_1	RAD59_recipient_1	NoDrug	MMS	1.2722612676141	5.16393571124466	NEUTRAL	ALLEVIATING	-3.89167444363056	0.00130735668146947
MMS4_donor_1	RAD5_recipient_1	NoDrug	MMS	-7.69188504583303	0.644961445161325	AGGRAVATING	NEUTRAL	-8.33684649099436	2.89178221662116e-13
MMS4_donor_1	RAD5_recipient_2	NoDrug	MMS	-15.0725448900937	5.33222731262284	AGGRAVATING	ALLEVIATING	-20.4047722027165	1.75699428045517e-74
MMS4_donor_1	CSM3_recipient_2	NoDrug	MMS	-3.98205611627582	-1.06805954162564	AGGRAVATING	NEUTRAL	-2.91399657465017	0.0179179966413594
MMS4_donor_2	MAG1_recipient_1	NoDrug	MMS	-1.71531011340098	-8.48057153957728	NEUTRAL	AGGRAVATING	6.7652614261763	3.86435762389162e-09
MMS4_donor_2	MMS1_recipient_1	NoDrug	MMS	-3.48441857363533	-9.98314283276975	NEUTRAL	AGGRAVATING	6.49872425913441	1.64424000100535e-08
MMS4_donor_2	MUS81_recipient_1	NoDrug	MMS	-8.47537776165952	-1.62900690370194	AGGRAVATING	NEUTRAL	-6.84637085795758	3.08228643807638e-09
